               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.016217,            0.006033,           0.0036089,             0.99071,             0.99675,               0.995,             0.88899,           0.0094375,           0.0027311,          0.00098076,            0.003565,            0.003565,            0.003565
                 132,             0.01635,           0.0059227,           0.0037993,             0.98973,             0.99719,               0.995,             0.87334,            0.010196,           0.0028027,          0.00093744,           0.0035155,           0.0035155,           0.0035155
                 133,            0.015892,           0.0063024,           0.0033625,             0.99248,                   1,               0.995,             0.87308,            0.010019,           0.0027935,          0.00087295,            0.003466,            0.003466,            0.003466
                 134,            0.016591,           0.0059997,           0.0041955,             0.98861,             0.99585,               0.995,             0.86922,            0.010197,           0.0028685,          0.00090757,           0.0034165,           0.0034165,           0.0034165
                 135,            0.016098,           0.0057822,           0.0034752,             0.98861,             0.99441,               0.995,             0.87149,            0.010021,           0.0028406,          0.00096046,            0.003367,            0.003367,            0.003367
                 136,            0.015988,           0.0055333,           0.0034209,             0.99099,             0.99447,               0.995,             0.87309,            0.010287,           0.0028634,          0.00093751,           0.0033175,           0.0033175,           0.0033175
                 137,            0.015739,            0.005728,           0.0032963,             0.98878,             0.99297,               0.995,             0.87968,            0.010313,           0.0027865,           0.0012738,            0.003268,            0.003268,            0.003268
                 138,            0.016052,           0.0061344,           0.0045458,             0.98467,             0.99145,             0.99359,             0.87436,            0.010276,           0.0028119,           0.0014265,           0.0032185,           0.0032185,           0.0032185
                 139,             0.01531,           0.0056534,           0.0036112,             0.98245,             0.98819,               0.995,              0.8719,            0.010736,           0.0028856,           0.0014624,            0.003169,            0.003169,            0.003169
                 140,            0.015894,           0.0055979,           0.0039779,             0.98487,              0.9944,               0.995,             0.86853,            0.010069,           0.0028204,           0.0011783,           0.0031195,           0.0031195,           0.0031195
                 141,             0.01618,           0.0060171,           0.0032725,             0.98845,             0.99711,               0.995,             0.87836,           0.0095082,           0.0028094,           0.0010221,             0.00307,             0.00307,             0.00307
                 142,            0.015184,           0.0055648,           0.0035649,             0.98579,             0.99137,               0.995,             0.89161,           0.0088958,           0.0027067,           0.0010771,           0.0030205,           0.0030205,           0.0030205
                 143,            0.014975,           0.0055478,            0.003839,             0.98813,             0.99312,               0.995,             0.88848,           0.0093469,           0.0026801,          0.00096374,            0.002971,            0.002971,            0.002971
                 144,            0.015694,           0.0057854,           0.0034037,             0.99164,              0.9967,               0.995,             0.88232,           0.0096657,           0.0026903,          0.00078638,           0.0029215,           0.0029215,           0.0029215
                 145,            0.015344,           0.0060981,           0.0037097,             0.99125,             0.99954,               0.995,             0.88112,           0.0096165,           0.0027601,          0.00072942,            0.002872,            0.002872,            0.002872
                 146,            0.015246,           0.0057769,           0.0033388,             0.98874,              0.9972,               0.995,             0.87334,           0.0092402,           0.0027937,           0.0007546,           0.0028225,           0.0028225,           0.0028225
